Transaction ID,Customer ID,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Customer Location,Device Used,IP Address,Is Fraudulent,Account Age Days,Transaction Hour
e560930c-94cd-4072-8bc,CUST_1097,479.52,2024-02-27 13:41:04,credit card,electronics,4,40,Mexico City,mobile_8705,72.215.129.214,0,601,13
2f998e99-5bd0-4a1a-b20,CUST_1005,94.57,2024-02-25 17:29:44,bank transfer,books,3,35,Istanbul,laptop_2874,160.78.122.33,0,807,17
c4b9393c-3322-4d98-b82,CUST_1029,125.6,2024-04-11 14:45:12,credit card,jewelry,2,66,Istanbul,mobile_6111,200.83.159.28,0,171,14
61cea7c0-90b5-4224-8a2,CUST_1077,73.68,2024-05-09 09:41:21,credit card,gaming,8,72,Sydney,laptop_7071,218.61.21.89,0,1328,9
884e933e-6910-4571-885,CUST_1092,5850.48,2024-04-29 03:27:52,crypto,sports,6,35,London,tablet_5425,213.235.78.112,1,18,3
4c4c5648-dea0-4b31-93e,CUST_1022,319.09,2024-02-16 13:31:13,bank transfer,sports,6,50,Houston,laptop_7209,72.230.124.193,0,395,13
3607c393-f3c3-4d14-abf,CUST_1070,487.89,2024-05-22 15:48:15,PayPal,beauty,8,74,Toronto,tablet_7658,143.5.97.22,0,170,15
0fef4d04-2cdf-4346-be9,CUST_1023,299.92,2024-05-15 16:22:27,crypto,books,6,71,Mexico City,tablet_6016,76.113.207.178,0,641,16
9bd7e13e-5021-466f-8d4,CUST_1069,172.41,2024-05-17 09:48:44,debit card,jewelry,4,34,Phoenix,tablet_6169,79.128.118.31,0,1066,9
518bed4f-2d89-4ba9-89c,CUST_1070,385.29,2024-05-16 08:08:17,credit card,electronics,9,74,Toronto,tablet_5853,186.144.51.214,0,170,8
233dbc87-cd6d-4fe8-a56,CUST_1032,418.7,2024-05-02 15:28:21,debit card,electronics,5,31,Istanbul,mobile_5658,164.251.52.224,0,896,15
c0dbce06-359b-4aa3-94b,CUST_1122,158.41,2024-01-22 12:15:07,crypto,gaming,10,62,New York,mobile_1878,30.33.205.126,0,1373,12
906a07f8-1e5e-46c4-8c1,CUST_1057,202.21,2024-05-30 21:27:19,crypto,electronics,10,55,Istanbul,laptop_5871,199.194.230.233,0,149,21
e1a1a5de-8541-4abf-a3a,CUST_1025,235.12,2024-01-01 10:26:28,crypto,beauty,5,18,Jakarta,mobile_3573,243.106.108.68,0,1116,10
2ca1386c-61c4-402e-96f,CUST_1073,4286.14,2024-06-14 01:09:58,bank transfer,groceries,2,37,Houston,tablet_4241,180.232.36.176,1,18,1
ca3590af-34b8-42fe-896,CUST_1078,8529.95,2024-05-06 22:28:05,crypto,electronics,7,75,Los Angeles,laptop_7594,212.147.224.32,1,17,22
330abc7f-492a-4878-a5c,CUST_1064,376.89,2024-01-11 17:48:48,debit card,beauty,9,51,Lagos,mobile_5415,7.46.117.247,0,1187,17
2c379967-c850-4a40-9b2,CUST_1071,140.72,2024-01-27 18:54:10,bank transfer,gaming,8,46,Istanbul,mobile_8700,47.223.251.249,0,353,18
99a2e825-be94-4614-a49,CUST_1102,233.7,2024-01-30 13:49:25,crypto,electronics,9,25,Beijing,desktop_5135,209.18.232.23,0,1077,13
57fc006f-3b72-4f92-a53,CUST_1013,197.15,2024-04-22 12:56:44,PayPal,clothing,1,26,Mexico City,laptop_1845,49.185.255.161,0,479,12
03b1989d-96a5-4ec1-a4f,CUST_1061,75.43,2024-02-27 09:53:58,credit card,beauty,2,61,Toronto,mobile_7684,182.81.159.142,0,169,9
b4f3630d-fb5b-4e0b-a11,CUST_1039,116.43,2024-02-18 14:58:38,crypto,groceries,2,73,Lagos,laptop_8736,128.149.139.107,0,94,14
622f6340-1e8e-407e-871,CUST_1106,261.52,2024-02-08 21:28:34,PayPal,books,6,39,Jakarta,desktop_9022,88.136.1.73,0,1390,21
89f7cfee-c784-4969-b86,CUST_1139,278.66,2024-04-15 20:02:20,PayPal,gaming,7,42,Sao Paulo,tablet_4912,97.233.164.223,0,1209,20
d52f7fb6-e158-4913-adf,CUST_1038,29.54,2024-04-22 21:06:33,PayPal,electronics,3,58,Los Angeles,desktop_2644,127.18.64.129,0,1479,21
298df172-a4fe-4eaf-8f5,CUST_1039,154.88,2024-05-16 21:24:20,PayPal,automotive,1,73,Lagos,laptop_2315,20.240.135.87,0,94,21
945b8281-3f7b-4b6b-8cc,CUST_1060,46.7,2024-06-11 09:45:55,credit card,beauty,3,23,London,mobile_8110,162.147.116.192,0,1070,9
23bcefa2-f15c-4bbb-8e5,CUST_1007,91.39,2024-05-24 14:43:50,debit card,groceries,3,69,Lagos,desktop_7141,12.166.28.76,0,95,14
5dfacaa6-b366-4725-b85,CUST_1097,2893.68,2024-03-14 03:43:34,debit card,clothing,8,40,Mexico City,laptop_8529,62.254.73.60,1,1,3
37b0d8d8-4bda-4f3b-bfb,CUST_1076,146.96,2024-05-03 14:06:15,PayPal,books,10,63,Lagos,desktop_4263,164.217.128.117,0,461,14
bdbac4e1-5298-43f5-8dc,CUST_1075,474.93,2024-02-28 20:38:51,bank transfer,jewelry,4,27,Sydney,mobile_9138,6.202.140.3,0,1163,20
27baade8-fa40-4735-b46,CUST_1035,84.11,2024-04-03 17:46:08,credit card,sports,6,46,Houston,laptop_1546,161.49.20.80,0,1089,17
8411528d-901e-45b7-82d,CUST_1044,267.11,2024-03-16 15:47:55,bank transfer,clothing,8,45,Dubai,desktop_3695,52.67.187.136,0,755,15
bb25b880-c2ca-4be4-b5c,CUST_1036,189.81,2024-04-11 20:00:16,crypto,clothing,8,39,New York,desktop_2479,194.115.203.248,0,161,20
5045d6e7-aea7-402d-8e0,CUST_1067,321.72,2024-03-24 16:58:39,debit card,clothing,8,18,Singapore,tablet_8724,150.195.190.28,0,178,16
daed6998-e891-4305-834,CUST_1077,115.61,2024-05-06 12:07:06,debit card,automotive,3,72,Sydney,mobile_1609,167.209.59.36,0,1328,12
5d661ca2-f81c-434d-b53,CUST_1094,420.08,2024-01-09 12:44:23,debit card,beauty,8,30,Singapore,laptop_2622,172.214.79.227,0,485,12
50e0db07-8b9a-48ce-ba1,CUST_1092,209.56,2024-02-01 11:54:52,PayPal,clothing,4,35,London,laptop_5520,26.188.183.16,0,538,11
e9a64a8b-9d32-4aed-921,CUST_1005,132.43,2024-05-30 11:13:52,debit card,books,3,35,Istanbul,tablet_4362,13.170.124.254,0,807,11
7229e6dc-4dd8-4b18-a10,CUST_1000,333.28,2024-06-18 09:55:01,debit card,electronics,6,23,Toronto,desktop_3858,71.74.66.139,0,622,9
e9ee050f-5be5-4db6-961,CUST_1060,107.6,2024-01-17 09:30:28,bank transfer,automotive,10,23,London,desktop_1858,151.165.8.45,0,1070,9
865aa045-f3d4-47ec-857,CUST_1128,3273.37,2024-01-16 00:30:54,PayPal,gaming,2,45,Istanbul,mobile_9543,196.172.52.24,1,21,0
fd15f929-7445-4fcf-806,CUST_1113,231.45,2024-03-11 10:39:40,crypto,automotive,6,56,Lagos,tablet_2076,19.41.164.156,0,1217,10
73349732-5e6e-4179-912,CUST_1135,123.82,2024-03-27 14:52:29,PayPal,gaming,2,31,Chicago,mobile_4522,76.232.220.26,0,1476,14
64a7cb38-885e-43a7-9f9,CUST_1080,58.68,2024-01-24 09:53:05,credit card,gaming,2,67,Phoenix,tablet_8770,171.130.191.245,0,713,9
c81c2061-4b12-4479-a13,CUST_1095,77.0,2024-04-18 20:55:58,credit card,sports,10,32,New York,desktop_3002,208.66.30.151,0,496,20
b0b4a061-1385-49e5-b0b,CUST_1026,198.57,2024-01-28 21:22:54,crypto,books,2,25,Moscow,laptop_4674,148.108.79.169,0,69,21
781eef7c-6022-4303-bd6,CUST_1146,272.67,2024-03-27 12:22:00,debit card,groceries,10,55,Seoul,desktop_1474,58.219.13.156,0,836,12
d0052903-8d6d-4b9f-b4e,CUST_1017,567.28,2024-04-26 14:21:10,bank transfer,sports,6,34,Istanbul,tablet_7163,37.15.46.192,0,1113,14
cca0f25b-218a-4808-9c3,CUST_1145,265.2,2024-04-18 18:31:38,PayPal,gaming,5,26,Jakarta,tablet_1815,153.43.26.40,0,987,18
6c286615-18a4-465e-ad4,CUST_1131,246.82,2024-06-19 16:19:02,debit card,gaming,10,49,Toronto,desktop_8972,30.176.220.29,0,1097,16
d4a63102-5a09-450f-9f5,CUST_1052,3490.6,2024-04-20 03:11:08,PayPal,automotive,4,73,Beijing,tablet_5742,109.16.15.24,1,1,3
eae4f2d7-e6d5-44ee-a24,CUST_1090,596.74,2024-04-19 17:36:25,PayPal,sports,2,74,Dubai,mobile_8532,19.203.21.112,0,392,17
476bf9d8-50ed-412c-9e8,CUST_1083,51.12,2024-04-21 11:37:25,crypto,clothing,7,75,Phoenix,laptop_2734,44.235.185.23,0,1445,11
7b04bc3f-4084-4850-867,CUST_1086,57.56,2024-03-30 13:46:52,debit card,jewelry,2,75,Moscow,mobile_9693,57.170.86.20,0,111,13
08aa579c-9986-45dd-969,CUST_1050,4604.42,2024-04-24 22:43:59,crypto,books,6,52,New York,mobile_1750,189.52.44.152,1,19,22
2f042368-88bb-482e-b1e,CUST_1017,3345.34,2024-01-15 00:23:53,bank transfer,clothing,2,34,Istanbul,mobile_2215,162.155.140.152,1,15,0
5a29702b-3424-41dd-8e9,CUST_1129,187.04,2024-05-01 17:32:09,credit card,beauty,2,65,Sao Paulo,tablet_6267,99.236.21.116,0,355,17
8bafa780-6ed7-420c-8f3,CUST_1087,147.05,2024-02-10 17:23:23,bank transfer,gaming,7,60,Houston,tablet_8172,252.43.88.11,0,541,17
910bb068-90ae-434f-a05,CUST_1013,174.1,2024-03-05 12:46:54,crypto,groceries,6,26,Mexico City,mobile_7333,203.171.33.85,0,479,12
77a74eb2-a91d-4188-b32,CUST_1036,6076.64,2024-06-20 01:44:53,crypto,clothing,7,39,New York,mobile_7171,80.200.66.153,1,11,1
dc2f0f2b-204c-422f-9cc,CUST_1004,339.07,2024-02-05 11:09:04,bank transfer,clothing,9,52,Toronto,tablet_6598,93.158.92.244,0,380,11
bce9a4d8-bea7-4d98-a06,CUST_1134,53.12,2024-02-16 10:53:44,crypto,groceries,8,32,Beijing,laptop_3527,10.172.67.153,0,338,10
0b715d5b-017b-44ec-a43,CUST_1093,3337.64,2024-04-04 01:43:36,PayPal,beauty,5,42,Los Angeles,laptop_9785,61.227.145.193,1,16,1
bc810ff8-4399-4e46-9f7,CUST_1128,274.28,2024-04-05 15:35:59,credit card,automotive,2,45,Istanbul,tablet_3267,136.214.82.210,0,1063,15
cee9ec4f-a64c-40c9-90c,CUST_1041,101.59,2024-04-25 11:56:22,credit card,gaming,1,64,Seoul,laptop_2502,70.230.75.213,0,300,11
69991fd3-9071-4c0b-82c,CUST_1095,150.23,2024-06-15 19:21:50,debit card,groceries,1,32,New York,tablet_1461,61.197.41.96,0,496,19
c694e474-bb03-403a-947,CUST_1120,223.21,2024-03-06 08:13:53,debit card,automotive,10,54,Mumbai,mobile_2298,179.71.240.115,0,1319,8
26669e51-f33c-4896-9c6,CUST_1028,122.82,2024-04-27 17:04:07,PayPal,automotive,1,23,Chicago,mobile_1782,199.147.121.78,0,1191,17
b06ecf53-8914-4a6d-bd6,CUST_1147,392.89,2024-05-26 11:26:11,credit card,automotive,6,59,Dubai,mobile_6780,62.73.149.110,0,201,11
049bfa6c-8404-4a31-890,CUST_1134,8844.52,2024-01-05 23:22:50,credit card,books,4,32,Beijing,desktop_4150,202.10.199.224,1,9,23
5bde5c83-0528-464f-8e6,CUST_1026,115.85,2024-06-24 21:29:44,PayPal,groceries,3,25,Moscow,desktop_9945,198.170.68.12,0,69,21
fe65516b-759b-48ed-9b2,CUST_1117,3387.89,2024-04-11 22:52:34,PayPal,sports,1,61,Berlin,mobile_1686,109.16.15.24,1,10,22
c778881c-3cf7-4ccc-874,CUST_1048,111.8,2024-04-04 09:27:56,PayPal,beauty,7,35,Singapore,desktop_5476,74.182.24.222,0,405,9
ce4d805e-9ee2-4908-b95,CUST_1047,119.87,2024-02-16 17:34:18,bank transfer,clothing,2,52,Singapore,desktop_2353,128.254.188.237,0,419,17
1ac67382-3abb-450d-874,CUST_1075,315.95,2024-01-11 15:46:55,bank transfer,gaming,5,27,Sydney,laptop_6759,79.228.218.43,0,1163,15
f6b6ea94-0c38-4c29-8d6,CUST_1014,267.02,2024-04-22 20:02:08,credit card,jewelry,6,73,Houston,tablet_1510,20.207.186.132,0,126,20
ba6601e1-d0c8-4f97-a25,CUST_1145,393.5,2024-01-20 15:36:08,crypto,books,7,26,Jakarta,desktop_7095,9.78.230.243,0,987,15
e6eae9fa-9fee-4875-874,CUST_1071,56.74,2024-03-08 09:49:16,PayPal,jewelry,10,46,Istanbul,tablet_9176,64.58.13.189,0,353,9
33f1a3db-ccc6-471d-9a1,CUST_1125,44.99,2024-04-23 10:05:51,bank transfer,books,2,72,Houston,mobile_8406,52.62.69.219,0,540,10
8bba9f6e-000d-474b-ace,CUST_1074,319.89,2024-02-05 11:15:50,PayPal,electronics,6,34,Houston,tablet_6922,229.153.80.183,0,305,11
f270d41d-4b82-441d-a63,CUST_1094,344.76,2024-05-02 19:33:26,PayPal,clothing,3,30,Singapore,desktop_7523,120.66.44.17,0,485,19
926569b6-86e1-40bd-bff,CUST_1018,138.97,2024-02-01 08:33:09,bank transfer,groceries,3,61,Houston,tablet_3114,116.238.176.33,0,53,8
e593fb23-5f61-49ad-a78,CUST_1057,177.65,2024-06-09 10:19:39,crypto,clothing,9,55,Istanbul,tablet_5496,89.145.40.65,0,149,10
67d2f230-2057-4f6d-845,CUST_1148,131.36,2024-05-27 20:16:41,debit card,gaming,10,29,Los Angeles,mobile_1464,40.87.172.216,0,975,20
956081b2-9cf9-4724-ab3,CUST_1127,536.71,2024-04-26 12:04:44,credit card,groceries,8,38,Singapore,tablet_7653,228.148.154.124,0,1249,12
9cf2eecd-c4c3-4229-8b9,CUST_1118,130.87,2024-05-11 13:35:06,bank transfer,jewelry,8,27,New York,desktop_6658,53.174.73.81,0,437,13
4fbb4369-2db9-4e2e-b29,CUST_1115,7886.14,2024-02-10 01:52:20,crypto,books,4,60,Chicago,desktop_4150,71.125.114.36,1,14,1
94386865-8b9f-47a8-875,CUST_1127,385.84,2024-01-24 08:25:32,PayPal,jewelry,4,38,Singapore,desktop_9148,132.239.255.226,0,1249,8
c7278d78-5f5f-4376-b6f,CUST_1012,99.55,2024-02-04 14:56:16,bank transfer,gaming,6,45,Seoul,laptop_5681,13.144.253.153,0,1227,14
712ac3b0-b47b-4c3b-b9b,CUST_1013,7567.55,2024-06-05 23:07:08,credit card,gaming,6,26,Mexico City,laptop_5582,50.185.147.19,1,20,23
8fa17199-ce98-46e3-b3e,CUST_1086,143.01,2024-01-12 08:02:08,bank transfer,beauty,9,75,Moscow,laptop_9193,143.187.73.51,0,111,8
36a27fed-f7bd-4243-85f,CUST_1131,220.34,2024-05-16 16:31:45,crypto,sports,8,49,Toronto,laptop_5902,36.167.163.42,0,1097,16
9722ced7-a18e-4c32-9e9,CUST_1094,278.75,2024-05-01 17:16:41,crypto,jewelry,1,30,Singapore,desktop_1436,85.56.213.150,0,485,17
ffa01c4a-5123-4a48-90b,CUST_1043,191.26,2024-01-05 11:28:20,PayPal,groceries,7,24,Houston,tablet_1517,135.194.75.211,0,419,11
ce82285d-0063-4713-a7b,CUST_1105,225.85,2024-05-23 11:20:42,PayPal,automotive,7,30,Moscow,tablet_9498,129.241.31.181,0,1403,11
9f237e4a-8a47-4aa8-93b,CUST_1044,295.75,2024-03-17 16:14:19,bank transfer,jewelry,8,45,Dubai,desktop_8932,118.175.181.174,0,755,16
82fa1f27-2075-4308-8e5,CUST_1089,472.69,2024-03-29 21:49:51,debit card,sports,1,33,London,laptop_7464,144.140.147.32,0,346,21
daadd55e-da9f-46ef-92d,CUST_1020,349.18,2024-06-27 16:17:08,credit card,jewelry,4,25,Berlin,laptop_4505,89.226.131.192,0,726,16
9b0b21de-1cf2-4e39-837,CUST_1135,6682.34,2024-02-05 23:00:35,debit card,gaming,8,31,Chicago,mobile_5803,109.16.15.24,1,4,23
0dd774a0-ec72-4bc6-9c1,CUST_1051,526.97,2024-05-26 18:14:34,credit card,groceries,7,28,Dubai,mobile_2465,194.147.164.74,0,514,18
58c62104-59a6-4db0-993,CUST_1045,346.29,2024-01-10 12:00:19,crypto,clothing,6,61,Houston,laptop_4052,240.18.203.202,0,140,12
2b593cc9-4939-4c7e-920,CUST_1139,243.68,2024-01-29 11:21:10,PayPal,sports,3,42,Sao Paulo,laptop_5470,135.252.68.218,0,1209,11
21b36874-4b8c-44a6-9bc,CUST_1086,3489.0,2024-01-25 23:11:08,PayPal,books,4,75,Moscow,laptop_9442,146.98.89.157,1,13,23
